ks08,0,*,"The lady singing with a boy is a genius, isn't she?"
m_02,0,*,Accountant was sitting at her desk.
ad03,1,,Mary ran.
ks08,0,*,John suddenly got the bus off.
r-67,1,,"After ten had left, seven more soldiers came in."
ks08,1,,All native speakers have a grammatical competence which can generate an infinite set of grammatical sentences from a finite set of resources.
l-93,0,*,Donna fixed last night's leftovers into a sandwich.
c_13,1,,Networking helps you grow your business.
ks08,1,,John has taken Bill to the library.
r-67,1,,I deny that it is certain that Bob has any money.
